T [μs],Qin,Vout,V/div,σ Q in,σ V out
0.5,1.08648E-11,0.096,0.2,1.85076E-13,0.008128567
1,2.17297E-11,0.192,0.2,3.70152E-13,0.008502611
2,4.34594E-11,0.376,0.2,7.40304E-13,0.009788238
3,6.5189E-11,0.56,0.2,1.11046E-12,0.0116
4,8.69187E-11,0.752,0.2,1.48061E-12,0.013828897
5,1.08648E-10,0.936,0.2,1.85076E-12,0.016159257
6,1.30378E-10,1.12,0.2,2.22091E-12,0.018607525
7,1.52108E-10,1.3,0.2,2.59106E-12,0.021077239
8,1.73837E-10,1.46,0.2,2.96122E-12,0.023315446
9,1.95567E-10,1.64,0.5,3.33137E-12,0.031704258
10,2.17297E-10,1.82,0.5,3.70152E-12,0.033842134
11,2.39027E-10,1.98,0.5,4.07167E-12,0.035806284
12,2.60756E-10,2.16,0.5,4.44182E-12,0.038075714